incident_fact_id,country_id,year_id,attack_type_id,target_industry_id,attack_source_id,vulnerability_id,defense_mechanism_id,financial_loss_category_id,affected_users_category_id,resolution_time_category_id,financial_loss_in_million,financial_loss_usd,number_of_affected_users,incident_resolution_time_in_hours,cei,gci,ncsi,ddl,internet_users,population_2021,percentage_internet_users
14,71,9,1,4,3,2,1,1,2,2,58.37,58370000.0,599797,35,0.228,97.6,84.42,77.29,59470000,64531444,92.2
15,71,10,1,5,4,1,3,4,3,1,48.01,48010000.0,922258,64,0.228,97.6,84.42,77.29,59470000,64531444,92.2
16,11,8,4,1,3,4,3,1,1,2,64.31,64310000.0,120789,36,0.131,97.47,66.23,77.61,25309515,25921089,97.6
17,165,3,3,4,1,2,1,2,3,1,13.04,13040000.0,850158,67,0.528,98.06,71.43,65.12,129800000,145102755,89.5
18,92,1,1,5,2,1,3,3,3,1,93.14,93140000.0,805278,56,0.597,97.5,59.74,40.02,881250000,1407563842,62.6
19,211,5,2,7,2,1,4,2,2,2,14.01,14010000.0,578443,28,0.207,99.54,89.61,79.96,65001016,67281039,96.6
20,92,2,1,5,3,1,1,4,4,3,36.45,36450000.0,261808,6,0.597,97.5,59.74,40.02,881250000,1407563842,62.6
21,27,1,5,6,1,3,2,4,3,2,49.55,49550000.0,920172,43,0.541,96.6,51.95,59.11,165300000,214326223,77.1
22,71,9,5,2,2,1,5,2,4,3,17.72,17720000.0,261661,11,0.228,97.6,84.42,77.29,59470000,64531444,92.2
23,92,3,1,3,3,2,4,3,1,2,76.71,76710000.0,246205,30,0.597,97.5,59.74,40.02,881250000,1407563842,62.6
24,100,8,4,7,3,3,2,2,1,2,20.42,20420000.0,186148,32,0.138,97.82,63.64,78.69,117400000,124612530,94.2
25,27,9,1,7,1,1,5,1,2,2,51.84,51840000.0,699007,30,0.541,96.6,51.95,59.11,165300000,214326223,77.1
26,42,7,4,6,2,4,1,1,2,1,51.06,51060000.0,628562,52,0.483,92.53,51.95,62.41,1102140000,1425893465,77.3
27,100,8,2,2,3,2,5,1,2,1,53.04,53040000.0,570494,53,0.138,97.82,63.64,78.69,117400000,124612530,94.2
28,100,8,5,1,2,2,3,4,3,3,26.17,26170000.0,937653,24,0.138,97.82,63.64,78.69,117400000,124612530,94.2
29,71,6,2,5,4,1,2,3,2,3,87.32,87320000.0,599757,9,0.228,97.6,84.42,77.29,59470000,64531444,92.2
30,11,1,1,3,1,4,3,3,3,1,82.7,82700000.0,904805,61,0.131,97.47,66.23,77.61,25309515,25921089,97.6
31,211,8,6,2,1,1,1,1,2,3,66.24,66239999.99999999,678876,11,0.207,99.54,89.61,79.96,65001016,67281039,96.6
32,71,6,2,7,1,4,1,2,1,2,18.38,18380000.0,246900,34,0.228,97.6,84.42,77.29,59470000,64531444,92.2
33,92,1,6,5,4,2,3,4,1,1,42.99,42990000.0,85255,61,0.597,97.5,59.74,40.02,881250000,1407563842,62.6
34,100,8,4,1,3,4,2,3,3,3,98.47,98470000.0,972469,21,0.138,97.82,63.64,78.69,117400000,124612530,94.2
35,27,9,4,4,3,3,5,2,1,2,14.51,14510000.0,113777,27,0.541,96.6,51.95,59.11,165300000,214326223,77.1
36,27,6,4,1,1,4,3,2,2,2,17.75,17750000.0,739540,31,0.541,96.6,51.95,59.11,165300000,214326223,77.1
37,42,6,3,2,3,4,4,2,2,1,19.81,19810000.0,722788,70,0.483,92.53,51.95,62.41,1102140000,1425893465,77.3
38,100,7,6,6,2,2,3,3,1,3,82.52,82520000.0,214372,12,0.138,97.82,63.64,78.69,117400000,124612530,94.2
39,212,8,1,6,2,3,1,4,1,1,32.53,32530000.0,235314,62,0.145,100.0,64.94,81.05,311300000,336997624,92.4
40,27,2,1,2,3,2,5,3,1,1,96.98,96980000.0,140812,71,0.541,96.6,51.95,59.11,165300000,214326223,77.1
41,165,1,1,7,4,4,1,3,1,3,96.39,96390000.0,238356,3,0.528,98.06,71.43,65.12,129800000,145102755,89.5
42,92,7,6,5,3,4,5,3,3,1,98.09,98090000.0,826976,57,0.597,97.5,59.74,40.02,881250000,1407563842,62.6
43,211,5,3,6,3,2,3,4,3,1,39.77,39770000.0,757694,69,0.207,99.54,89.61,79.96,65001016,67281039,96.6
44,212,3,1,5,1,4,5,1,4,1,74.12,74120000.0,403108,64,0.145,100.0,64.94,81.05,311300000,336997624,92.4
45,11,6,1,1,2,3,2,3,3,3,92.95,92950000.0,942890,19,0.131,97.47,66.23,77.61,25309515,25921089,97.6
46,71,8,2,4,4,3,1,2,3,2,20.33,20330000.0,794906,36,0.228,97.6,84.42,77.29,59470000,64531444,92.2
47,11,2,6,3,1,2,2,4,4,1,27.33,27330000.0,481293,65,0.131,97.47,66.23,77.61,25309515,25921089,97.6
48,92,2,1,2,1,2,5,2,2,2,21.01,21010000.0,602692,29,0.597,97.5,59.74,40.02,881250000,1407563842,62.6
49,211,4,3,6,1,4,4,2,4,2,13.66,13660000.0,455529,40,0.207,99.54,89.61,79.96,65001016,67281039,96.6
50,100,3,4,7,1,4,5,3,4,2,75.84,75840000.0,383395,31,0.138,97.82,63.64,78.69,117400000,124612530,94.2
51,212,9,1,6,1,4,5,1,1,1,59.69,59690000.0,113612,70,0.145,100.0,64.94,81.05,311300000,336997624,92.4
52,11,5,2,3,2,2,2,2,3,3,21.72,21720000.0,984411,17,0.131,97.47,66.23,77.61,25309515,25921089,97.6
53,211,1,4,5,1,3,1,3,1,2,85.58,85580000.0,17229,30,0.207,99.54,89.61,79.96,65001016,67281039,96.6
54,71,4,4,4,2,1,3,3,2,1,75.11,75110000.0,581303,51,0.228,97.6,84.42,77.29,59470000,64531444,92.2
55,92,5,3,2,3,4,1,2,3,3,10.8,10800000.0,799474,23,0.597,97.5,59.74,40.02,881250000,1407563842,62.6
56,92,6,1,1,3,2,1,3,3,3,86.27,86270000.0,898655,10,0.597,97.5,59.74,40.02,881250000,1407563842,62.6
57,211,7,2,4,4,3,2,1,2,1,67.1,67099999.99999999,698852,57,0.207,99.54,89.61,79.96,65001016,67281039,96.6
58,92,4,1,4,1,2,4,3,4,1,76.43,76430000.0,304162,56,0.597,97.5,59.74,40.02,881250000,1407563842,62.6
59,27,1,4,1,1,1,5,4,1,1,43.4,43400000.0,191625,65,0.541,96.6,51.95,59.11,165300000,214326223,77.1
60,11,10,4,2,4,2,5,3,1,3,93.32,93320000.0,93185,14,0.131,97.47,66.23,77.61,25309515,25921089,97.6
61,92,5,4,4,3,4,5,4,1,3,35.6,35600000.0,40718,24,0.597,97.5,59.74,40.02,881250000,1407563842,62.6
62,42,1,4,3,3,4,4,4,4,1,42.73,42730000.0,310574,65,0.483,92.53,51.95,62.41,1102140000,1425893465,77.3
63,92,10,1,2,3,1,4,1,4,1,73.37,73370000.0,475719,52,0.597,97.5,59.74,40.02,881250000,1407563842,62.6
64,211,4,2,6,4,3,2,1,4,2,73.18,73180000.0,404060,32,0.207,99.54,89.61,79.96,65001016,67281039,96.6
65,42,10,2,2,1,4,4,1,1,1,72.35,72350000.0,132726,55,0.483,92.53,51.95,62.41,1102140000,1425893465,77.3
66,211,2,1,1,3,1,4,3,4,3,87.68,87680000.0,336376,11,0.207,99.54,89.61,79.96,65001016,67281039,96.6
67,11,8,2,4,4,3,3,1,2,1,67.16,67160000.0,566437,63,0.131,97.47,66.23,77.61,25309515,25921089,97.6
68,165,3,3,2,3,3,2,3,4,3,83.43,83430000.0,313631,16,0.528,98.06,71.43,65.12,129800000,145102755,89.5
69,71,2,1,1,4,4,5,4,3,2,28.66,28660000.0,996004,28,0.228,97.6,84.42,77.29,59470000,64531444,92.2
70,42,7,4,4,2,2,4,1,3,2,55.04,55040000.0,871600,29,0.483,92.53,51.95,62.41,1102140000,1425893465,77.3
71,27,1,1,5,4,3,1,4,3,2,43.51,43510000.0,940656,41,0.541,96.6,51.95,59.11,165300000,214326223,77.1
72,212,1,5,7,3,1,4,2,4,1,20.73,20730000.0,297209,66,0.145,100.0,64.94,81.05,311300000,336997624,92.4
73,211,5,4,5,2,2,2,3,1,1,78.19,78190000.0,28321,63,0.207,99.54,89.61,79.96,65001016,67281039,96.6
74,27,8,4,7,3,4,3,4,4,3,29.02,29020000.0,456783,10,0.541,96.6,51.95,59.11,165300000,214326223,77.1
75,76,4,5,1,3,2,5,3,3,2,87.56,87560000.0,933028,25,0.241,97.41,90.91,80.01,77794405,83408554,93.3
76,11,9,4,7,3,4,1,2,1,1,24.65,24650000.0,221512,56,0.131,97.47,66.23,77.61,25309515,25921089,97.6
77,71,3,4,1,1,2,3,2,1,3,17.88,17880000.0,16585,12,0.228,97.6,84.42,77.29,59470000,64531444,92.2
78,212,8,5,2,3,3,2,2,3,3,21.01,21010000.0,787752,9,0.145,100.0,64.94,81.05,311300000,336997624,92.4
79,165,8,6,1,4,1,4,1,2,2,60.25,60250000.0,662517,40,0.528,98.06,71.43,65.12,129800000,145102755,89.5
80,27,4,2,2,1,4,3,2,4,3,6.63,6630000.0,274509,20,0.541,96.6,51.95,59.11,165300000,214326223,77.1
81,71,10,4,3,1,2,4,2,2,1,5.8,5800000.0,508649,66,0.228,97.6,84.42,77.29,59470000,64531444,92.2
82,27,7,1,5,4,3,3,1,2,1,70.26,70260000.0,740257,70,0.541,96.6,51.95,59.11,165300000,214326223,77.1
83,11,10,2,4,1,1,1,1,3,3,62.08,62080000.0,969504,5,0.131,97.47,66.23,77.61,25309515,25921089,97.6
84,76,2,3,4,3,1,1,3,3,1,90.2,90200000.0,779494,54,0.241,97.41,90.91,80.01,77794405,83408554,93.3
85,100,5,2,1,2,3,3,4,2,2,44.17,44170000.0,605166,27,0.138,97.82,63.64,78.69,117400000,124612530,94.2
86,71,9,2,3,2,4,3,1,4,1,55.18,55180000.0,274946,66,0.228,97.6,84.42,77.29,59470000,64531444,92.2
87,100,5,3,1,3,4,4,4,2,2,41.32,41320000.0,645097,36,0.138,97.82,63.64,78.69,117400000,124612530,94.2
88,211,1,1,7,3,2,2,4,1,1,32.92,32920000.0,157678,68,0.207,99.54,89.61,79.96,65001016,67281039,96.6
89,27,8,1,6,3,1,1,2,1,1,15.16,15160000.0,157034,69,0.541,96.6,51.95,59.11,165300000,214326223,77.1
90,92,6,6,2,3,3,3,1,2,3,62.5,62500000.0,550656,4,0.597,97.5,59.74,40.02,881250000,1407563842,62.6
91,11,3,6,4,1,2,4,1,2,1,68.91,68910000.0,634048,66,0.131,97.47,66.23,77.61,25309515,25921089,97.6
92,211,9,1,1,3,3,1,3,2,3,81.26,81260000.0,547495,3,0.207,99.54,89.61,79.96,65001016,67281039,96.6
93,211,10,1,4,1,3,2,1,4,2,58.31,58310000.0,487694,41,0.207,99.54,89.61,79.96,65001016,67281039,96.6
94,71,9,3,6,1,2,2,3,4,2,88.65,88650000.0,427067,42,0.228,97.6,84.42,77.29,59470000,64531444,92.2
95,11,9,2,7,1,2,1,2,3,1,1.51,1510000.0,954902,55,0.131,97.47,66.23,77.61,25309515,25921089,97.6
96,211,6,5,1,3,3,4,4,1,1,49.23,49230000.0,128594,53,0.207,99.54,89.61,79.96,65001016,67281039,96.6
97,76,10,4,4,3,1,4,3,1,3,84.53,84530000.0,189430,1,0.241,97.41,90.91,80.01,77794405,83408554,93.3
98,71,7,1,4,3,2,1,3,2,3,90.63,90630000.0,603327,15,0.228,97.6,84.42,77.29,59470000,64531444,92.2
99,211,7,1,2,3,1,3,3,4,2,80.26,80260000.0,276593,36,0.207,99.54,89.61,79.96,65001016,67281039,96.6
100,100,9,2,2,2,2,4,2,3,1,22.87,22870000.0,975282,49,0.138,97.82,63.64,78.69,117400000,124612530,94.2
101,92,4,5,6,1,2,2,2,4,3,23.79,23790000.0,486810,11,0.597,97.5,59.74,40.02,881250000,1407563842,62.6
102,100,7,5,5,1,3,4,4,3,2,35.43,35430000.0,969517,25,0.138,97.82,63.64,78.69,117400000,124612530,94.2
103,11,8,2,1,2,4,3,1,1,3,74.77,74770000.0,151599,18,0.131,97.47,66.23,77.61,25309515,25921089,97.6
104,100,8,6,5,4,1,1,1,2,2,66.66,66660000.0,749545,30,0.138,97.82,63.64,78.69,117400000,124612530,94.2
105,27,1,2,6,1,2,5,3,1,2,78.13,78130000.0,71743,35,0.541,96.6,51.95,59.11,165300000,214326223,77.1
106,76,4,4,1,1,3,2,2,3,2,11.39,11390000.0,969684,41,0.241,97.41,90.91,80.01,77794405,83408554,93.3
107,76,6,6,2,4,3,2,3,3,3,87.84,87840000.0,842506,19,0.241,97.41,90.91,80.01,77794405,83408554,93.3
108,27,9,3,5,3,1,3,2,3,2,10.18,10180000.0,933883,41,0.541,96.6,51.95,59.11,165300000,214326223,77.1
109,211,5,2,2,3,2,1,2,4,3,4.42,4420000.0,393748,10,0.207,99.54,89.61,79.96,65001016,67281039,96.6
110,27,6,1,1,4,3,3,3,2,2,76.98,76980000.0,708549,37,0.541,96.6,51.95,59.11,165300000,214326223,77.1
111,100,6,1,4,4,4,5,1,1,2,73.24,73240000.0,136762,41,0.138,97.82,63.64,78.69,117400000,124612530,94.2
112,165,4,2,7,4,1,5,2,2,2,8.11,8109999.999999999,737958,35,0.528,98.06,71.43,65.12,129800000,145102755,89.5
113,100,6,3,1,2,2,2,2,1,1,23.55,23550000.0,108886,51,0.138,97.82,63.64,78.69,117400000,124612530,94.2
114,11,2,4,1,3,2,5,3,4,1,92.79,92790000.0,285311,55,0.131,97.47,66.23,77.61,25309515,25921089,97.6
115,212,7,2,6,1,2,2,1,3,1,71.11,71110000.0,961868,57,0.145,100.0,64.94,81.05,311300000,336997624,92.4
116,11,9,3,1,4,4,4,1,4,2,57.34,57340000.0,471743,29,0.131,97.47,66.23,77.61,25309515,25921089,97.6
117,211,10,4,3,4,3,4,3,3,2,81.26,81260000.0,993903,25,0.207,99.54,89.61,79.96,65001016,67281039,96.6
118,42,10,5,7,3,1,1,2,1,2,7.32,7320000.0,179156,34,0.483,92.53,51.95,62.41,1102140000,1425893465,77.3
119,76,8,3,4,3,2,3,1,2,2,56.27,56270000.0,699129,25,0.241,97.41,90.91,80.01,77794405,83408554,93.3
120,165,7,2,5,2,1,3,3,3,3,83.76,83760000.0,920983,24,0.528,98.06,71.43,65.12,129800000,145102755,89.5
121,211,9,6,1,3,2,4,3,3,2,85.64,85640000.0,875790,36,0.207,99.54,89.61,79.96,65001016,67281039,96.6
122,165,2,2,6,1,3,3,1,4,2,61.39,61390000.0,415274,40,0.528,98.06,71.43,65.12,129800000,145102755,89.5
123,165,9,5,1,1,1,5,4,1,2,42.14,42140000.0,222293,38,0.528,98.06,71.43,65.12,129800000,145102755,89.5
124,71,7,3,6,4,2,5,3,4,1,94.4,94400000.0,357092,71,0.228,97.6,84.42,77.29,59470000,64531444,92.2
125,11,7,2,7,1,4,1,3,2,1,84.68,84680000.0,708291,54,0.131,97.47,66.23,77.61,25309515,25921089,97.6
126,165,10,2,1,3,1,4,3,2,2,93.33,93330000.0,517610,35,0.528,98.06,71.43,65.12,129800000,145102755,89.5
127,76,9,2,3,1,2,5,1,4,3,70.46,70460000.0,368803,23,0.241,97.41,90.91,80.01,77794405,83408554,93.3
128,42,9,3,4,3,2,4,4,4,1,48.71,48710000.0,421191,62,0.483,92.53,51.95,62.41,1102140000,1425893465,77.3
129,92,4,4,5,1,2,3,1,4,2,69.03,69030000.0,282139,37,0.597,97.5,59.74,40.02,881250000,1407563842,62.6
130,42,4,2,5,2,1,3,4,1,3,49.19,49190000.0,117543,22,0.483,92.53,51.95,62.41,1102140000,1425893465,77.3
131,71,2,4,3,4,4,3,4,2,1,27.2,27200000.0,536925,62,0.228,97.6,84.42,77.29,59470000,64531444,92.2
132,71,9,5,6,4,2,5,1,1,1,64.08,64080000.0,238068,61,0.228,97.6,84.42,77.29,59470000,64531444,92.2
133,100,8,2,7,2,1,5,4,1,2,38.46,38460000.0,39814,32,0.138,97.82,63.64,78.69,117400000,124612530,94.2
134,92,4,1,3,3,4,2,3,4,2,80.89,80890000.0,268956,47,0.597,97.5,59.74,40.02,881250000,1407563842,62.6
135,71,1,2,2,3,2,2,2,1,1,15.76,15760000.0,424,58,0.228,97.6,84.42,77.29,59470000,64531444,92.2
136,212,7,6,7,4,2,3,3,3,1,82.24,82240000.0,982969,64,0.145,100.0,64.94,81.05,311300000,336997624,92.4
137,76,7,2,3,3,1,4,3,1,2,82.72,82720000.0,219703,33,0.241,97.41,90.91,80.01,77794405,83408554,93.3
138,100,2,3,6,3,2,5,2,2,3,18.96,18960000.0,530947,12,0.138,97.82,63.64,78.69,117400000,124612530,94.2
139,211,3,6,5,2,2,2,1,2,2,53.39,53390000.0,576110,37,0.207,99.54,89.61,79.96,65001016,67281039,96.6
140,211,3,3,3,4,4,2,4,1,1,48.9,48900000.0,177154,68,0.207,99.54,89.61,79.96,65001016,67281039,96.6
141,71,3,6,4,1,1,3,1,1,3,60.77,60770000.0,212177,2,0.228,97.6,84.42,77.29,59470000,64531444,92.2
142,76,7,1,1,1,2,3,3,1,1,91.24,91240000.0,8787,55,0.241,97.41,90.91,80.01,77794405,83408554,93.3
143,212,1,4,2,2,1,3,4,4,2,41.36,41360000.0,291727,31,0.145,100.0,64.94,81.05,311300000,336997624,92.4
144,76,8,1,5,1,1,5,3,3,1,78.18,78180000.0,987652,72,0.241,97.41,90.91,80.01,77794405,83408554,93.3
145,42,8,5,7,4,1,2,2,1,2,16.16,16160000.0,236284,38,0.483,92.53,51.95,62.41,1102140000,1425893465,77.3
146,212,6,3,7,3,4,5,2,1,3,15.63,15630000.0,209853,1,0.145,100.0,64.94,81.05,311300000,336997624,92.4
147,11,6,1,6,4,4,2,4,3,1,36.29,36290000.0,755621,50,0.131,97.47,66.23,77.61,25309515,25921089,97.6
148,71,1,6,6,2,2,2,1,2,2,61.41,61410000.0,694844,43,0.228,97.6,84.42,77.29,59470000,64531444,92.2
149,71,4,6,6,3,2,3,1,3,1,53.72,53720000.0,795831,61,0.228,97.6,84.42,77.29,59470000,64531444,92.2
150,27,6,1,6,4,3,3,2,4,3,17.4,17400000.0,342253,22,0.541,96.6,51.95,59.11,165300000,214326223,77.1
151,212,2,4,6,3,3,1,3,2,2,75.94,75940000.0,638693,35,0.145,100.0,64.94,81.05,311300000,336997624,92.4
152,212,4,4,1,2,4,5,1,2,1,55.9,55900000.0,618616,51,0.145,100.0,64.94,81.05,311300000,336997624,92.4
153,27,9,6,6,1,1,1,1,3,3,56.76,56760000.0,774426,21,0.541,96.6,51.95,59.11,165300000,214326223,77.1
154,11,9,1,3,2,2,3,3,3,1,76.25,76250000.0,900661,64,0.131,97.47,66.23,77.61,25309515,25921089,97.6
155,92,5,4,7,2,2,1,3,1,1,75.23,75230000.0,141627,64,0.597,97.5,59.74,40.02,881250000,1407563842,62.6
156,76,10,4,5,4,2,5,2,3,1,3.93,3930000.0,845785,69,0.241,97.41,90.91,80.01,77794405,83408554,93.3
157,11,1,2,6,2,4,2,3,1,3,99.41,99410000.0,120048,12,0.131,97.47,66.23,77.61,25309515,25921089,97.6
158,212,2,2,6,4,1,1,4,3,2,32.89,32890000.0,894935,31,0.145,100.0,64.94,81.05,311300000,336997624,92.4
159,100,3,6,4,4,1,1,2,4,2,21.66,21660000.0,277555,45,0.138,97.82,63.64,78.69,117400000,124612530,94.2
160,11,10,5,2,2,2,1,3,4,2,85.86,85860000.0,461012,38,0.131,97.47,66.23,77.61,25309515,25921089,97.6
161,165,7,6,7,3,1,4,3,2,1,80.23,80230000.0,599291,55,0.528,98.06,71.43,65.12,129800000,145102755,89.5
162,11,2,3,3,1,2,5,4,1,2,31.92,31920000.0,163602,26,0.131,97.47,66.23,77.61,25309515,25921089,97.6
163,211,7,6,3,3,3,3,4,3,3,39.03,39030000.0,986196,11,0.207,99.54,89.61,79.96,65001016,67281039,96.6
164,71,10,5,6,3,4,3,3,4,3,99.03,99030000.0,349008,20,0.228,97.6,84.42,77.29,59470000,64531444,92.2
165,76,8,6,6,4,4,2,4,2,1,25.1,25100000.0,559667,69,0.241,97.41,90.91,80.01,77794405,83408554,93.3
166,165,4,1,4,1,3,2,1,4,3,67.27,67270000.0,335628,20,0.528,98.06,71.43,65.12,129800000,145102755,89.5
167,76,2,5,2,4,2,4,4,4,3,29.89,29890000.0,385363,22,0.241,97.41,90.91,80.01,77794405,83408554,93.3
168,212,7,3,2,2,4,4,2,3,2,15.92,15920000.0,945793,32,0.145,100.0,64.94,81.05,311300000,336997624,92.4
169,165,2,6,7,3,1,1,3,2,3,95.93,95930000.0,595950,11,0.528,98.06,71.43,65.12,129800000,145102755,89.5
170,100,8,1,2,3,3,5,2,3,3,12.61,12610000.0,756722,15,0.138,97.82,63.64,78.69,117400000,124612530,94.2
171,11,10,5,3,1,1,2,4,2,1,39.92,39920000.0,594424,54,0.131,97.47,66.23,77.61,25309515,25921089,97.6
172,42,1,2,6,1,4,3,2,4,2,19.36,19360000.0,457790,39,0.483,92.53,51.95,62.41,1102140000,1425893465,77.3
173,42,10,5,7,4,1,2,1,2,1,70.47,70470000.0,549337,63,0.483,92.53,51.95,62.41,1102140000,1425893465,77.3
174,71,9,2,4,4,2,4,1,2,2,53.34,53340000.0,714681,34,0.228,97.6,84.42,77.29,59470000,64531444,92.2
175,92,8,2,3,1,1,2,3,3,1,84.15,84150000.0,849745,51,0.597,97.5,59.74,40.02,881250000,1407563842,62.6
176,27,5,6,1,3,4,5,4,3,1,27.64,27640000.0,826256,50,0.541,96.6,51.95,59.11,165300000,214326223,77.1
177,211,3,1,5,4,4,2,2,2,2,9.01,9010000.0,617543,43,0.207,99.54,89.61,79.96,65001016,67281039,96.6
178,212,3,6,1,4,1,1,2,3,1,9.08,9080000.0,895507,52,0.145,100.0,64.94,81.05,311300000,336997624,92.4
179,211,6,6,4,4,1,2,1,1,2,67.9,67900000.0,2233,45,0.207,99.54,89.61,79.96,65001016,67281039,96.6
180,100,8,4,3,4,2,4,1,1,2,71.12,71120000.0,76776,42,0.138,97.82,63.64,78.69,117400000,124612530,94.2
181,42,5,5,6,3,4,5,2,1,1,6.08,6080000.0,175261,64,0.483,92.53,51.95,62.41,1102140000,1425893465,77.3
182,11,2,3,4,2,2,2,3,2,2,90.85,90850000.0,746369,30,0.131,97.47,66.23,77.61,25309515,25921089,97.6
183,11,3,2,4,3,2,1,3,2,2,77.32,77320000.0,563706,35,0.131,97.47,66.23,77.61,25309515,25921089,97.6
184,92,8,1,4,2,2,1,2,4,1,12.01,12010000.0,254980,58,0.597,97.5,59.74,40.02,881250000,1407563842,62.6
185,165,7,2,2,4,2,2,2,3,3,0.54,540000.0,869574,16,0.528,98.06,71.43,65.12,129800000,145102755,89.5
186,165,1,2,5,4,4,5,3,4,3,95.33,95330000.0,282598,21,0.528,98.06,71.43,65.12,129800000,145102755,89.5
187,27,9,2,7,3,4,1,1,4,1,62.77,62770000.0,422623,55,0.541,96.6,51.95,59.11,165300000,214326223,77.1
188,27,7,2,4,4,2,3,3,3,1,83.06,83060000.0,937717,56,0.541,96.6,51.95,59.11,165300000,214326223,77.1
189,92,7,3,7,2,1,5,1,4,2,71.64,71640000.0,416077,39,0.597,97.5,59.74,40.02,881250000,1407563842,62.6
190,11,5,3,1,2,1,4,4,1,1,47.67,47670000.0,112313,63,0.131,97.47,66.23,77.61,25309515,25921089,97.6
191,11,3,3,7,2,4,4,3,3,1,79.72,79720000.0,799971,63,0.131,97.47,66.23,77.61,25309515,25921089,97.6
192,100,4,3,6,1,1,2,4,2,1,47.11,47110000.0,690595,71,0.138,97.82,63.64,78.69,117400000,124612530,94.2
193,92,3,3,3,1,2,1,1,2,1,69.69,69690000.0,713419,70,0.597,97.5,59.74,40.02,881250000,1407563842,62.6
194,11,8,3,4,1,4,2,3,2,2,81.31,81310000.0,707365,38,0.131,97.47,66.23,77.61,25309515,25921089,97.6
195,27,2,2,4,4,2,2,3,1,2,83.88,83880000.0,155059,29,0.541,96.6,51.95,59.11,165300000,214326223,77.1
196,165,8,4,1,2,3,3,3,3,2,85.01,85010000.0,923558,41,0.528,98.06,71.43,65.12,129800000,145102755,89.5
197,76,8,1,7,3,1,1,2,1,3,20.55,20550000.0,239313,6,0.241,97.41,90.91,80.01,77794405,83408554,93.3
198,165,9,5,7,1,3,2,1,3,2,60.08,60080000.0,874485,48,0.528,98.06,71.43,65.12,129800000,145102755,89.5
199,165,2,6,4,4,1,5,4,1,2,46.95,46950000.0,90895,29,0.528,98.06,71.43,65.12,129800000,145102755,89.5
200,42,1,3,6,1,4,5,4,2,1,47.2,47200000.0,529593,64,0.483,92.53,51.95,62.41,1102140000,1425893465,77.3
201,76,4,4,3,3,3,5,4,2,1,46.92,46920000.0,610201,72,0.241,97.41,90.91,80.01,77794405,83408554,93.3
202,212,7,1,7,1,3,4,2,3,3,1.98,1980000.0,863623,24,0.145,100.0,64.94,81.05,311300000,336997624,92.4
203,212,4,2,4,2,3,2,2,3,2,14.28,14280000.0,755771,44,0.145,100.0,64.94,81.05,311300000,336997624,92.4
204,100,7,6,7,4,1,4,1,1,3,66.23,66230000.00000001,164032,5,0.138,97.82,63.64,78.69,117400000,124612530,94.2
205,165,5,3,7,3,3,2,3,4,1,95.66,95660000.0,259993,58,0.528,98.06,71.43,65.12,129800000,145102755,89.5
206,211,5,4,6,4,1,4,3,1,3,90.13,90130000.0,232359,17,0.207,99.54,89.61,79.96,65001016,67281039,96.6
207,76,4,4,7,4,2,3,3,3,3,84.9,84900000.0,800031,10,0.241,97.41,90.91,80.01,77794405,83408554,93.3
208,211,2,4,4,4,2,3,1,3,2,71.19,71190000.0,925040,48,0.207,99.54,89.61,79.96,65001016,67281039,96.6
209,27,2,2,5,2,1,1,3,4,1,99.29,99290000.0,273469,67,0.541,96.6,51.95,59.11,165300000,214326223,77.1
